,0
885,416.58
886,410.28
887,405.41
888,414.21
889,417.94
890,422.12
891,419.07
892,415.75
893,415.62
894,418.2
895,417.3
896,420.06
897,417.4
898,417.52
899,417.61
900,416.74
901,412.27
902,416.07
903,412.17
904,415.21
905,417.26
906,415.87
907,411.45
908,412.86
909,411.64
910,411.49
911,408.52
912,406.59
913,406.12
914,406.36
915,400.61
916,396.33
917,394.73
918,395.78
919,395.98
920,389.7
921,387.52
922,389.5
923,392.59
924,389.48
925,391.48
926,397.26
927,395.91
928,396.41
929,394.06
930,393.53
931,389.58
932,387.17
933,381.72
934,383.63
935,376.7
936,381.42
937,386.54
938,389.58
939,380.36
940,382.33
941,391.77
942,387.5
943,387.03
944,390.03
945,390.72
946,392.39
947,392.3
948,392.64
949,390.71
950,390.08
951,390.25
952,390.51
953,387.71
954,386.19
955,381.85
956,381.55
957,376.23
958,370.07
959,377.63
960,374.41
961,383.79
962,384.39
963,382.88
964,384.24
965,383.89
966,378.65
967,375.7
968,378.46
969,379.79
970,378.77
971,378.69
972,381.26
973,379.1
974,373.55
975,371.33
976,368.79
977,373.88
978,371.99
979,371.46
980,372.17
981,369.0
982,367.57
983,367.24
984,367.86
985,369.18
986,372.24
987,370.17
988,369.59
989,364.66
990,366.3
991,366.73
992,366.85
993,370.17
994,369.09
995,369.85
996,366.69
997,366.79
998,366.02
999,362.06
1000,363.67
1001,362.66
1002,363.22
1003,357.46
1004,355.33
1005,357.78
1006,356.28
1007,360.62
1008,362.57
1009,358.1
1010,353.21
1011,356.67
1012,354.04
1013,354.56
1014,350.16
1015,350.24
1016,343.54
1017,336.03
1018,330.2
1019,326.54
1020,329.98
1021,326.66
1022,338.22
1023,339.39
1024,345.78
1025,344.61
1026,342.73
1027,343.38
1028,342.01
1029,347.29
1030,347.5
1031,347.93
1032,350.13
1033,352.43
1034,346.85
1035,343.78
1036,340.76
1037,334.93
1038,339.76
1039,333.84
1040,337.04
1041,334.89
1042,332.37
1043,334.19
1044,328.73
1045,323.5
1046,322.64
1047,330.3
1048,326.97
1049,330.65
1050,335.84
1051,338.82
1052,340.17
1053,338.46
1054,334.06
1055,333.89
1056,339.79
1057,333.21
1058,342.57
1059,345.39
1060,357.7
1061,352.6
1062,349.31
1063,350.58
1064,348.33
1065,347.57
1066,344.12
1067,342.92
1068,339.48
1069,338.28
1070,337.23
1071,338.64
1072,337.91
1073,336.84
1074,336.83
1075,337.44
1076,332.8
1077,335.57
1078,334.57
1079,334.33
1080,332.11
1081,330.06
1082,328.79
1083,326.52
1084,323.96
1085,325.12
1086,321.17
1087,323.22
1088,320.88
1089,322.96
1090,326.86
1091,325.01
1092,324.32
1093,321.72
1094,320.79
1095,321.85
1096,318.92
1097,314.84
1098,317.59
1099,314.38
1100,316.18
1101,313.78
1102,317.05
1103,312.23
1104,310.52
1105,308.36
1106,304.46
1107,300.05
1108,307.35
1109,304.09
1110,312.05
1111,310.62
1112,308.64
1113,311.78
1114,311.66
1115,312.96
1116,307.05
1117,304.21
1118,300.61
1119,319.0
1120,320.79
1121,323.2
1122,319.34
1123,311.36
1124,312.18
1125,308.08
1126,305.55
1127,304.32
1128,302.97
1129,303.53
1130,299.08
1131,295.44
1132,294.88
1133,296.93
1134,291.97
1135,295.0
1136,286.28
1137,284.97
1138,281.6
1139,286.67
1140,292.5
1141,292.44
1142,287.68
1143,284.25
1144,286.19
1145,283.57
1146,282.79
1147,290.48
1148,293.21
1149,285.73
1150,287.05
1151,282.97
1152,279.08
1153,279.1
1154,273.04
1155,281.59
1156,286.64
1157,279.1
1158,277.76
1159,283.79
1160,275.66
1161,278.2
1162,274.03
1163,265.13
1164,264.86
1165,248.19
1166,251.83
1167,246.15
1168,257.75
1169,261.65
1170,253.42
1171,261.2
1172,246.79
1173,243.15
1174,222.95
1175,228.8
1176,240.51
1177,240.0
1178,252.8
1179,239.85
1180,269.32
1181,248.11
1182,274.36
1183,288.42
1184,274.23
1185,297.46
1186,302.46
1187,312.86
1188,300.24
1189,309.09
1190,296.26
1191,297.51
1192,311.5
1193,312.65
1194,322.42
1195,333.48
1196,336.95
1197,338.34
1198,336.73
1199,337.6
1200,337.06
1201,337.42
1202,335.26
1203,334.68
1204,332.2
1205,333.98
